,Vietnamese,Positive,Negative,"Anger
/ tức giận","Anticipation
/ Hi vọng","Disgust
/ chán ghét","Fear
/ sợ hãi","Joy
/ thích thú","Sadness
/ buồn bã","Surprise
/ ngạc nhiên","Trust
/ tin tưởng",
confined,hạn chế,0,1,1,0,1,1,0,1,0,0,5
animosity,hận thù,0,1,1,0,1,1,0,1,0,0,5
eager,háo hức,1,0,0,1,0,0,1,0,1,1,5
aftermath,hậu quả,0,1,1,0,1,1,0,1,0,0,5
consecration,hiến dâng,1,0,0,1,0,0,1,1,0,1,5
deserted,hiu quạnh,0,1,1,0,1,1,0,1,0,0,5
goodness,hòa hiệp,1,0,0,1,0,0,1,0,1,1,5
crowning,hoàn thiện,1,0,0,1,0,0,1,0,1,1,5
deserted,hoang vu,0,1,1,0,1,1,0,1,0,0,5
violent,hung bạo,0,1,1,0,1,1,0,0,1,0,5
boisterous,hung dữ,1,1,1,1,0,0,1,0,0,0,5
,hung hãn,0,1,1,0,1,1,0,0,1,0,5
violent,hung tợn,0,1,1,0,1,1,0,0,1,0,5
miracle,huyền diệu,1,0,0,1,0,0,1,0,1,1,5
boisterous,huyên náo,1,1,1,1,0,0,1,0,0,0,5
hope,hy vọng,1,0,0,1,0,0,1,0,1,1,5
succeed,kế nghiệp,1,0,0,1,0,0,1,0,1,1,5
succeed,kế vị,1,0,0,1,0,0,1,0,1,1,5
convict,kết án,0,1,1,0,1,1,0,1,0,0,5
,khắc nghiệt,0,1,0,1,1,1,0,0,1,0,5
yearning,khát khao,1,1,0,1,0,0,1,0,0,1,5
entangled,khó khăn,0,1,1,0,1,1,0,1,0,0,5
,khố rách áo ôm,0,1,0,1,1,1,0,1,0,0,5
generosity,khoan hồng,1,0,0,1,0,0,1,0,1,1,5
,khốc liệt,0,1,0,1,1,1,0,0,1,0,5
uncertain,không chắc,0,1,1,0,1,1,0,0,1,0,5
,không có tiền,0,1,0,1,1,1,0,1,0,0,5
,không được hợp tác,0,1,1,1,1,0,0,1,0,0,5
,không được phối hợp,0,1,1,1,1,0,0,1,0,0,5
displeased,không hài lòng,0,1,1,0,1,1,0,1,0,0,5
uncertain,không kiên định,0,1,1,0,1,1,0,0,1,0,5
,không một xu dính túi,0,1,0,1,1,1,0,1,0,0,5
,không nhà không cửa,0,1,0,1,1,1,0,1,0,0,5
incurable,không thể chữa được,0,1,1,0,1,1,0,1,0,0,5
,không tiền,0,1,0,1,1,1,0,1,0,0,5
cheer,khuyến khích,1,0,0,1,0,0,1,0,1,1,5
cove,kín đáo,1,0,0,1,1,1,1,0,0,0,5
horrid,kin khủng,0,1,1,0,1,1,0,1,0,0,5
awful,kinh khủng,0,1,1,0,1,1,0,1,0,0,5
optimism,lạc quan,1,0,0,1,0,0,1,0,1,1,5
abuse,lạm dụng,0,1,1,0,1,1,0,1,0,0,5
,làm ghê tởm,0,1,1,0,1,1,0,0,1,0,5
,làm kinh tởm,0,1,1,0,1,1,0,0,1,0,5
enslaved,làm nô lệ,0,1,1,0,1,1,0,1,0,0,5
,làm tởm,0,1,1,0,1,1,0,0,1,0,5
celebration,lễ kỷ niệm,1,0,0,1,0,0,1,0,1,1,5
,lén lút,0,1,1,0,1,1,0,0,1,0,5
anxiety,lo ngại,0,1,1,1,0,1,0,1,0,0,5
ulcer,loét,0,1,1,0,1,1,0,1,0,0,5
compliment,lời khen,1,0,0,1,0,0,1,0,1,1,5
goodness,lòng tốt,1,0,0,1,0,0,1,0,1,1,5
demonic,ma quỷ,0,1,1,0,1,1,0,1,0,0,5
,mắc,0,1,0,1,1,0,0,1,1,0,5
crescendo,mạnh dần,1,0,0,1,0,0,1,0,1,1,5
sun,mặt trời,1,0,0,1,0,0,1,0,1,1,5
,máu me,0,1,1,0,1,1,0,1,0,0,5
,máu me be bét,0,1,1,0,1,1,0,1,0,0,5
,mến yêu,1,0,0,1,0,0,1,0,1,1,5
disfigured,méo mó,0,1,1,0,1,1,0,1,0,0,5
anxiety,mối lo,0,1,1,1,0,1,0,1,0,0,5
yearning,mong mỏi,1,1,0,1,0,0,1,0,0,1,5
hope,mong ước,1,0,0,1,0,0,1,0,1,1,5
,một thần,0,1,0,1,1,1,0,1,0,0,5
,mù hoàn toàn,0,1,0,1,1,1,0,1,0,0,5
embrace,nắm lấy,1,0,0,1,0,0,1,0,1,1,5
incurable,nan y,0,1,1,0,1,1,0,1,0,0,5
boisterous,náo nhiệt,1,1,1,1,0,0,1,0,0,0,5
,nghèo rớt mồng tơi,0,1,0,1,1,1,0,1,0,0,5
sweetheart,người tình,1,0,0,1,0,0,1,1,0,1,5
sweetheart,người yêu,1,0,0,1,0,0,1,1,0,1,5
grin,nhăn nhở,1,0,0,1,0,0,1,0,1,1,5
ulcer,nhọt,0,1,1,0,1,1,0,1,0,0,5
hellish,như địa ngục,0,1,1,0,1,1,0,1,0,0,5
,nhục nhã,0,1,1,0,1,1,0,1,0,0,5
enslaved,nô dịch,0,1,1,0,1,1,0,1,0,0,5
banshee,nữ thần báo tử,0,1,1,0,1,1,0,1,0,0,5
,nửa người,0,1,0,0,1,1,0,1,1,0,5
,ô nhục,0,1,1,0,1,1,0,1,0,0,5
complement,phaần bù,1,0,0,1,0,0,1,0,1,1,5
convict,phạm tội nghiêm trọng,0,1,1,0,1,1,0,1,0,0,5
betray,phản bội,0,1,1,0,1,0,0,1,1,0,5
remains,phế tích,1,1,0,0,1,1,0,0,0,1,5
miracle,phép màu,1,0,0,1,0,0,1,0,1,1,5
betray,phụ bạc,0,1,1,0,1,0,0,1,1,0,5
,quái thai,0,1,1,0,1,1,0,0,1,0,5
evil,quỷ quái,0,1,1,0,1,1,0,1,0,0,5
dawn,rạng sáng,1,0,0,1,0,0,1,0,1,1,5
entangled,rối rắm,0,1,1,0,1,1,0,1,0,0,5
generosity,rộng lượng,1,0,0,1,0,0,1,0,1,1,5
desert,ruồng bỏ,0,1,1,0,1,1,0,1,0,0,5
playground,sân chơi,1,0,0,1,0,0,1,0,1,1,5
abuse,sự lộng hành,0,1,1,0,1,1,0,1,0,0,5
accolade,sự ôm hôn,1,0,0,1,0,0,1,0,1,1,5
bankruptcy,sự phá sản,0,1,1,0,1,1,0,1,0,0,5
tremor,sự run rẩy,0,1,1,1,0,1,0,1,0,0,5
alienation,sự tha hóa,0,1,1,0,1,1,0,1,0,0,5
animosity,sự thù oán,0,1,1,0,1,1,0,1,0,0,5
advocacy,sự ủng hộ tích cực,1,0,1,1,0,0,1,0,0,1,5
proficiency,tài năng,1,0,0,1,0,0,1,0,1,1,5
sing,tán dương,1,0,0,1,0,0,1,1,0,1,5
dire,tàn khốc,0,1,0,0,1,1,0,1,1,0,5
remains,tàn tích,1,1,0,0,1,1,0,0,0,1,5
hymn,tán tụng,1,0,0,1,0,0,1,1,0,1,5
advance,tăng lên,1,0,0,1,0,1,1,0,1,0,5
deplorable,tệ hại,0,1,1,0,1,1,0,1,0,0,5
sun,thái dương,1,0,0,1,0,0,1,0,1,1,5
cruel,thảm khốc,0,1,1,0,1,1,0,1,0,0,5
,thẩm mĩ,1,0,0,1,0,0,1,0,1,1,5
corrupting,tham nhũng,0,1,1,0,1,1,0,1,0,0,5
miracle,thần kỳ,1,0,0,1,0,0,1,0,1,1,5
chant,thánh ca,1,0,1,1,0,0,1,0,1,0,5
succeed,thành công,1,0,0,1,0,0,1,0,1,1,5
bigoted,thành kiến,0,1,1,0,1,1,0,1,0,0,5
candid,thật thà,1,0,0,1,0,0,1,0,1,1,5
remains,thi hài,1,1,0,0,1,1,0,0,0,1,5
favorable,thiện trí,1,0,0,1,0,0,1,0,1,1,5
art,thợ thủ công,1,0,0,1,0,0,1,1,1,0,5
corrupting,thối nát,0,1,1,0,1,1,0,1,0,0,5
sympathetic,thông cảm,1,0,0,0,0,1,1,1,0,1,5
proficiency,thông thạo,1,0,0,1,0,0,1,0,1,1,5
animosity,thù địch,0,1,1,0,1,1,0,1,0,0,5
picnic,thú vị,1,0,0,1,0,0,1,0,1,1,5
deal,thu xếp,1,0,0,1,0,0,1,0,1,1,5
inheritance,thừa kế,1,0,0,1,0,0,1,0,1,1,5
deal,thương lượng,1,0,0,1,0,0,1,0,1,1,5
advance,tiến bộ,1,0,0,1,0,1,1,0,1,0,5
advance,tiến lên,1,0,0,1,0,1,1,0,1,0,5
bigoted,tin mù quáng,0,1,1,0,1,1,0,1,0,0,5
grin,toe toét,1,0,0,1,0,0,1,0,1,1,5
hellish,tối tăm,0,1,1,0,1,1,0,1,0,0,5
deplorable,tồi tệ,0,1,1,0,1,1,0,1,0,0,5
,tổn thương,0,1,1,0,1,1,0,1,0,0,5
glorify,tôn vinh,1,0,0,1,0,0,1,0,1,1,5
good,tốt,1,0,0,1,0,0,1,0,1,1,5
derogatory,trái pháp luật,0,1,1,0,1,1,0,1,0,0,5
immoral,trái với đạo đức,0,1,1,0,1,1,0,1,0,0,5
hopeful,tràn trề hy vọng,1,0,0,1,0,0,1,0,1,1,5
dislocated,trật khớp,0,1,1,0,1,1,0,1,0,0,5
tantalizing,trêu,1,1,0,1,0,0,1,0,1,0,5
favorable,triển vọng,1,0,0,1,0,0,1,0,1,1,5
present,trình bày,1,0,0,1,0,0,1,0,1,1,5
present,trình diến,1,0,0,1,0,0,1,0,1,1,5
deserted,trống trải,0,1,1,0,1,1,0,1,0,0,5
banish,trục xuất,0,1,1,0,1,1,0,1,0,0,5
convict,tù nhân,0,1,1,0,1,1,0,1,0,0,5
sweet,tử tế,1,0,0,1,0,0,1,0,0,1,4
,túng quẫn,0,1,0,1,1,1,0,1,0,0,5
,tưởng tượng,1,1,0,1,0,0,1,0,0,0,4
ulcer,nhọt,0,1,1,0,1,0,0,1,0,0,4
deserted,vắng vẻ,0,1,1,0,1,1,0,1,0,0,5
gory,vấy máu,0,1,1,0,1,1,0,1,0,0,5
derogatory,vi phạm,0,1,1,0,1,1,0,1,0,0,5
undying,vĩnh cửu,1,0,0,0,0,0,1,1,0,1,4
cove,vịnh nhỏ,0,0,0,0,0,0,0,0,0,0,0
disrespectful,vô lễ,0,1,1,0,1,1,0,1,0,0,5
bankruptcy,vỡ nợ,0,1,1,0,1,1,0,1,0,0,5
candid,vô tư,1,0,0,1,0,0,1,0,1,1,5
,xâm nhập,0,1,1,0,0,1,0,0,1,0,4
belittle,xem thường,0,1,1,0,1,1,0,1,0,0,5
cherish,yêu dấu,1,0,0,0,0,0,1,0,0,1,3
cherish,yêu mến,1,0,0,0,0,0,1,0,0,1,3
cherish,yêu thương,1,0,0,0,0,0,1,0,0,1,3
diabolical,ác độc,0,1,1,0,1,1,0,0,0,0,4
,ái ngại,0,1,0,0,1,1,0,1,0,0,4
,âm âm,0,1,0,0,1,1,0,1,0,0,4
,âm âm u u,0,1,0,0,1,1,0,1,0,0,4
,âm ỉ,0,1,1,0,1,1,0,0,0,0,4
,ám muội,0,1,1,0,1,1,0,0,0,0,4
,âm u,0,1,0,0,1,1,0,1,0,0,4
comfort,an ủi,1,0,0,1,0,0,1,0,0,1,4
heroic,anh hùng,1,0,0,0,0,0,1,0,1,1,4
treasure,bạc,1,0,0,1,0,0,1,0,0,1,4
,bẩn,0,1,0,1,0,0,0,1,1,0,4
ordination,ban lệnh,1,0,0,1,0,0,1,0,0,1,4
bless,ban phúc,1,0,0,1,0,0,1,0,0,1,4
bless,ban phước,1,0,0,1,0,0,1,0,0,1,4
buddy,bạn thân,1,0,0,1,0,0,1,0,0,1,4
disservice,báo hại,0,1,1,0,1,0,0,1,0,0,4
,bạo lực,0,1,1,0,1,1,0,0,0,0,4
tyrannical,bạo ngược,0,1,1,0,1,1,0,0,0,0,4
salvation,bảo vệ,1,0,0,1,0,0,1,0,0,1,4
abduction,bắt cóc,0,1,0,0,0,1,0,1,1,0,4
unfair,bất công,0,1,1,0,1,0,0,1,0,0,4
,bắt ép,0,1,1,0,1,1,0,0,0,0,4
unhappy,bất hạnh,0,1,1,0,1,0,0,1,0,0,4
,bất lương,0,1,1,0,1,1,0,0,0,0,4
turmoil,bất ổn,0,1,1,0,0,1,0,1,0,0,4
inconvenient,bất tiện,0,1,1,0,1,0,0,1,0,0,4
,bất tỉnh,0,1,0,1,0,1,0,0,1,0,4
,bất tỉnh nhân sự,0,1,0,1,0,1,0,0,1,0,4
uncontrollable,bất trị,0,1,1,1,0,0,0,0,1,0,4
,bất tuân,0,1,1,1,1,0,0,0,0,0,4
,bậy bạ,0,1,0,0,1,1,0,0,1,0,4
,be bét,0,1,1,0,1,1,0,0,0,0,4
closure,bế mạc,1,0,0,1,0,0,1,1,0,0,4
,bềnh bồng,0,0,1,1,0,1,1,0,0,0,4
anthrax,bệnh than,0,1,0,0,1,1,0,1,0,0,4
assail,bị công kích,0,1,1,0,0,1,0,0,1,0,4
,bị huỷ hoại,0,1,0,0,1,1,0,1,0,0,4
,bị lạc,0,1,0,1,0,1,0,1,0,0,4
disqualified,bị loại,0,1,1,0,1,0,0,1,0,0,4
assail,bị tấn công,0,1,1,0,0,1,0,0,1,0,4
disgraced,bị thất sủng,0,1,1,0,1,0,0,1,0,0,4
,bị thương tổn,0,1,0,1,0,1,0,1,0,0,4
,bị truy nã,0,1,0,1,0,1,0,1,0,0,4
,bị tước quyền công dân,0,1,0,1,0,1,0,1,0,0,4
vanished,biến mất,0,1,0,0,0,1,0,1,1,0,4
foresee,biết trước,1,0,0,1,0,0,0,0,1,1,4
swim,bơi,1,0,0,1,0,1,1,0,0,0,4
treacherous,bôi bạc,0,1,1,0,1,1,0,0,0,0,4
,bội bạc,0,1,1,0,1,0,0,1,0,0,4
,bồng bềnh,0,0,1,1,0,1,1,0,0,0,4
brute,brute,0,1,1,0,0,1,0,1,0,0,4
,bửn,0,1,0,1,0,0,0,1,1,0,4
,bừng bừng lửa hận,0,1,1,1,1,0,0,0,0,0,4
glow,bừng sáng,1,0,0,1,0,0,1,0,0,1,4
contraband,buôn lậu,0,1,1,0,1,1,0,0,0,0,4
depressed,buồn phiền,0,1,1,0,0,1,0,1,0,0,4
dolphin,cá heo,1,0,0,0,0,0,1,0,1,1,4
accompaniment,cái bổ sung,1,0,0,1,0,0,1,0,0,1,4
contentious,cãi nhau,0,1,1,0,1,1,0,0,0,0,4
cradle,căn nguyên,1,0,0,1,0,0,1,0,0,1,4
meditate,cân nhắc,1,0,0,1,0,0,1,0,0,1,4
greatness,cao cả,1,0,0,0,0,0,1,0,1,1,4
greatness,cao quý,1,0,0,0,0,0,1,0,1,1,4
greatness,cao thượng,1,0,0,0,0,0,1,0,1,1,4
emergency,cấp cứu,0,1,0,0,0,1,0,1,1,0,4
,cau có,0,1,1,0,1,0,0,1,0,0,4
precious,cầu kỳ,1,0,0,1,0,0,1,0,1,0,4
frowning,cau mày,0,1,1,0,1,0,0,1,0,0,4
bitterly,cay đắng,0,1,1,0,1,0,0,1,0,0,4
closure,chấm dứt,1,0,0,1,0,0,1,1,0,0,4
depressed,chán nản,0,1,1,0,0,1,0,1,0,0,4
devout,chân thành,1,0,0,1,0,0,1,0,0,1,4
traumatic,chấn thương,0,1,1,0,0,1,0,1,0,0,4
grandchildren,cháu,1,0,0,1,0,0,1,0,0,1,4
treasure,châu báu,1,0,0,1,0,0,1,0,0,1,4
bleeding,chảy máu,0,1,0,0,1,1,0,1,0,0,4
concealed,che đậy,0,1,0,1,0,1,0,0,1,0,4
crushing,chèn ép,0,1,1,0,1,1,0,0,0,0,4
dominate,chi phối,1,1,1,0,0,1,0,0,0,0,4
share,chia sẻ,1,0,0,1,0,0,1,0,0,1,4
possess,chiếm hữu,1,0,0,1,0,0,1,0,0,1,4
triumphant,chiến thắng,1,0,0,1,0,0,1,0,0,1,4
illuminate,chiếu sáng,1,0,0,1,0,0,1,0,1,0,4
sanctuary,chỗ thần bí,1,0,0,1,0,0,1,0,0,1,4
,chơi bời phóng đãng,0,1,0,0,1,0,1,0,1,0,4
disservice,chơi khăm,0,1,1,0,1,0,0,1,0,0,4
,chói tai,0,1,1,0,1,1,0,0,0,0,4
disservice,chơi xỏ,0,1,1,0,1,0,0,1,0,0,4
,chót lọt,1,0,0,1,0,0,1,0,0,1,4
,chu đáo,1,0,0,1,0,0,1,0,0,1,4
clown,chú hề,1,0,0,1,0,0,1,0,1,0,4
healing,Chữa lành,1,0,0,1,0,0,1,0,0,1,4
lord,Chúa tể,1,1,0,0,1,0,0,0,0,1,4
,chứng nào tật nấy,0,1,1,0,1,0,0,1,0,0,4
atone,chuộc lỗi,1,0,0,1,0,0,1,0,0,1,4
journey,chuyến đi,1,0,0,1,0,1,1,0,0,0,4
amour,chuyện yêu đương,1,0,0,1,0,0,1,0,0,1,4
,có khả năng phối hợp,1,0,0,1,0,0,1,0,0,1,4
,có khuynh hướng kết hợp,1,0,0,1,0,0,1,0,0,1,4
,có lương tâm,1,0,0,1,0,0,1,0,0,1,4
,có máu nóng,0,1,1,0,1,1,0,0,0,0,4
,có mụn,0,1,0,1,1,0,0,1,0,0,4
,có mụn nhọt,0,1,0,1,1,0,0,1,0,0,4
,có nhọt,0,1,0,1,1,0,0,1,0,0,4
,có thể nhận thức được,1,0,0,1,0,0,0,0,1,1,4
,có ý xấu,0,1,1,0,1,1,0,0,0,0,4
,côn đồ,0,1,1,0,1,1,0,0,0,0,4
